D;Var;rep;P;Prow;Pnr;row;pl;inpl;Ex;alaph;aph;aphtot;nas;macr;cat;wf;syr;ori;coc
20.06.2018;PEG;M;9;1;5;9;20;0;1;0;1;1;1;0;0;0;1;0;0
20.06.2018;PEG;M;9;1;5;12;1;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;12;5;0;1;0;0;0;0;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;12;10;0;1;0;1;1;1;0;0;0;1;1;0
20.06.2018;PEG;M;9;1;5;12;15;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;PEG;M;9;1;5;12;20;0;0;0;1;1;1;0;0;0;0;1;0
20.06.2018;SFG;S;10;1;6;1;1;0;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;1;5;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;1;10;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;1;15;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;1;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;4;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;4;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;4;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;4;15;1;0;0;1;1;1;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;4;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;5;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;5;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;5;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;5;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;8;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;8;5;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;8;10;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;8;15;1;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;8;20;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;9;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2018;SFG;S;10;1;6;9;5;1;0;0;0;0;0;0;0;0;0;0;0
